gene_symbol,T8.M.Sp#1,T8.M.Sp#2,T8.M.Sp#3
1700031F05Rik,0,0,0
1700031F10Rik,0,0,0
1700031L13Rik,0,0,0
1700031M16Rik,0,0,0
1700031P21Rik,0,0,0
1700034B16Rik,0,0,0
1700034E13Rik,0,0,0
1700034G24Rik,0,0,0
1700034H15Rik,3,5,2
1700034I23Rik,0,4,0
1700034J04Rik,0,0,0
1700034J05Rik,0,0,0
1700034K08Rik,0,0,0
1700034P13Rik,0,0,0
1700036A12Rik,0,0,0
1700036G14Rik,0,0,0
1700036O09Rik,0,0,0
1700037C06Rik,0,0,0
1700037C18Rik,47,68,17
1700037F03Rik,0,0,0
1700037F24Rik,0,0,0
1700037H04Rik,27,84,30
1700039E22Rik,0,0,0
1700039I01Rik,0,0,0
1700039M10Rik,1,0,0
1700039M15Rik,0,0,0
1700040D17Rik,1,2,2
1700040E09Rik,0,0,0
1700040F15Rik,0,0,0
1700040F17Rik,0,0,0
1700040K01Rik,0,0,0
1700040L08Rik,0,0,0
1700041C23Rik,0,0,0
1700041G16Rik,1,2,1
1700041I07Rik,0,0,0
1700041M05Rik,0,0,0
1700041M19Rik,0,1,0
1700042D02Rik,0,0,0
1700042G07Rik,0,0,0
1700042G15Rik,0,0,0
1700042O05Rik,0,0,0
1700042O10Rik,4,4,3
1700044C05Rik,0,0,0
1700044K03Rik,0,0,0
1700045H11Rik,0,0,0
1700045I11Rik,0,0,0
1700046C09Rik,0,0,0
1700047A11Rik,0,0,6
1700047F07Rik,0,0,0
1700047G03Rik,1,0,0
1700047G07Rik,0,0,0
1700047I17Rik2,0,0,0
1700047K16Rik,1,1,0
1700047L14Rik,0,0,0
1700047M11Rik,0,1,6
1700047N06Rik,0,0,1
1700047O18Rik,0,0,0
1700048F04Rik,0,0,0
1700048M11Rik,2,1,3
1700048O20Rik,0,0,0
1700048P04Rik,0,0,0
1700049E15Rik,0,0,0
1700049E17Rik1,0,0,0
1700049E22Rik,0,0,0
1700049J03Rik,0,0,0
1700049L16Rik,0,0,0
1700051A21Rik,0,0,0
1700051K13Rik,0,0,0
1700051O22Rik,0,0,0
1700052H01Rik,0,0,0
1700052I22Rik,0,0,0
1700052K11Rik,4,26,3
1700054A03Rik,0,0,0
1700054K02Rik,0,0,0
1700054K19Rik,0,0,0
1700054M17Rik,0,0,0
1700054O05Rik,0,0,0
1700054O19Rik,0,0,0
1700055C04Rik,0,0,0
1700055D18Rik,1,0,2
1700056E22Rik,1,0,0
1700056N10Rik,29,31,22
1700057G04Rik,0,0,0
1700057H15Rik,0,0,0
1700057H21Rik,0,0,0
1700058P15Rik,4,19,6
1700060C16Rik,0,0,0
1700060C20Rik,0,0,0
1700060J05Rik,0,0,0
1700060O08Rik,0,0,0
1700061E17Rik,0,0,0
1700061E18Rik,0,0,0
1700061F12Rik,0,0,0
1700061G19Rik,20,18,12
1700061H18Rik,0,0,0
1700061I17Rik,0,0,0
1700061J23Rik,0,0,0
1700061N14Rik,0,0,0
1700063A18Rik,0,0,0
1700063D05Rik,0,0,0
1700063H04Rik,0,0,0
1700063H06Rik,0,0,0
1700063I16Rik,0,0,0
1700063K16Rik,1,0,0
1700063O14Rik,0,0,0
1700064H15Rik,0,0,0
1700064J06Rik,0,0,0
1700064M15Rik,0,0,0
1700065D16Rik,0,0,1
1700065I16Rik,0,0,0
1700065J11Rik,0,0,0
1700065J18Rik,0,0,0
1700065L07Rik,0,0,0
1700065O20Rik,0,0,0
1700066B17Rik,1,0,0
1700066B19Rik,3,14,8
1700066C05Rik,0,0,0
1700066J03Rik,0,1,0
1700066M21Rik,43,58,16
1700066N21Rik,0,0,0
1700066O22Rik,0,0,0
1700067G17Rik,0,0,0
1700067K01Rik,0,1,0
1700067P10Rik,0,0,0
1700069B07Rik,0,0,0
1700069L16Rik,0,0,0
1700069P05Rik,0,0,0
1700071G01Rik,0,1,0
1700071K01Rik,0,0,0
1700071M16Rik,0,0,0
1700072B07Rik,0,0,0
1700072G22Rik,0,0,0
1700072O05Rik,0,0,0
1700073E17Rik,0,0,0
1700074A21Rik,0,0,0
1700074H08Rik,0,0,0
1700074P13Rik,0,0,0
1700080E11Rik,0,0,0
1700080G11Rik,0,0,0
1700080N15Rik,0,0,0
1700080O16Rik,0,0,0
1700081B01Rik,0,0,0
1700081H04Rik,0,0,0
1700081N11Rik,0,0,0
1700082M22Rik,0,2,0
1700083H02Rik,0,0,0
1700084C06Rik,0,0,0
1700084E18Rik,2,6,0
1700084F23Rik,0,0,0
1700084J12Rik,0,2,2
1700084M14Rik,0,0,0
1700085C21Rik,0,0,0
1700086D15Rik,0,0,0
1700086L19Rik,0,0,0
1700086O06Rik,2,4,5
1700086P04Rik,0,0,0
1700088E04Rik,0,2,0
1700091H14Rik,0,0,0
1700092C02Rik,0,3,0
1700092C10Rik,0,0,0
1700092C17Rik,0,0,0
1700092E16Rik,0,0,0
1700092E19Rik,0,0,0
1700092K14Rik,0,0,0
1700092M07Rik,0,0,1
1700093J21Rik,0,0,1
1700093K21Rik,0,1,0
1700094J05Rik,0,0,0
1700094M23Rik,0,0,0
1700094M24Rik,0,0,0
1700095A13Rik,0,0,0
1700095A21Rik,0,0,0
1700095B10Rik,0,0,0
1700095J03Rik,0,0,0
1700095J07Rik,1,0,1
1700095J12Rik,5,5,4
1700095K22Rik,0,0,0
1700096J18Rik,0,0,0
1700096K18Rik,17,40,16
1700097M23Rik,0,0,0
1700097N02Rik,4,12,3
1700099I09Rik,0,1,0
1700100L14Rik,0,0,0
1700101I11Rik,0,0,0
1700101I19Rik,0,0,0
1700101O22Rik,0,0,0
1700102F20Rik,0,0,0
1700102P08Rik,3,8,2
1700104B16Rik,0,0,0
1700104L18Rik,0,0,0
1700105G05Rik,0,0,0
1700105P06Rik,1,0,0
1700108F19Rik,0,0,0
1700108J01Rik,0,0,1
1700108N06Rik,0,0,0
1700108N11Rik,0,0,0
1700109G14Rik,0,0,0
1700109G15Rik,0,0,0
1700109H08Rik,16,43,25
1700109I08Rik,0,0,0
1700109K24Rik,0,0,0
1700110C19Rik,0,1,0
1700110I01Rik,0,0,0
1700110I07Rik,0,0,0
1700110K17Rik,0,0,0
1700111E14Rik,0,0,0
1700111N16Rik,0,0,0
1700112D23Rik,1,0,0
1700112H15Rik,0,0,0
1700112J05Rik,1,0,0
1700112J16Rik,1,0,0
1700112K13Rik,0,0,0
1700112L15Rik,0,0,0
1700112M02Rik,0,0,0
1700113A16Rik,10,22,16
1700113B19Rik,0,0,0
1700113H08Rik,0,0,0
1700116B05Rik,0,0,0
1700119H24Rik,0,0,0
1700119I11Rik,0,0,0
1700120B22Rik,0,0,0
1700120C14Rik,11,14,4
1700120C18Rik,0,0,0
1700120E14Rik,0,0,0
1700120G07Rik,0,0,0
1700120G11Rik,0,0,0
1700120K04Rik,0,0,0
1700120O09Rik,0,0,0
1700121C08Rik,0,0,0
1700121L03Rik,0,0,0
1700121L16Rik,0,0,0
1700121N20Rik,0,0,0
1700122D07Rik,0,0,0
1700122E12Rik,3,4,6
1700122H20Rik,0,0,0
1700122O11Rik,0,0,0
1700123J17Rik,0,0,0
1700123K08Rik,0,0,0
1700123L14Rik,0,0,0
1700123M08Rik,4,13,4
1700123O12Rik,2,0,0
1700123O20Rik,156,320,131
1700123O21Rik,0,0,0
1700124L16Rik,0,0,0
1700124M09Rik,0,0,0
1700125G02Rik,0,0,0
1700125G22Rik,0,0,0
1700125H03Rik,0,0,0
1700125H20Rik,0,0,0
1700126A01Rik,0,0,0
1700126G02Rik,2,10,2
1700126H18Rik,0,0,0
1700127F24Rik,0,0,0
1700128A07Rik,0,0,0
1700128E19Rik,0,0,0
1700128F08Rik,0,0,0
1700129C05Rik,0,0,0
1700129L04Rik,0,0,0
1810006J02Rik,61,43,32
1810007C17Rik,0,0,0
1810007D17Rik,0,0,0
1810008B01Rik,0,1,5
1810008I18Rik,0,0,0
1810009A15Rik,10,10,7
1810009J06Rik,0,0,0
1810010D01Rik,0,0,0
1810010H24Rik,2,6,2
1810010K12Rik,0,0,0
1810011H11Rik,0,0,0
1810012K08Rik,1,0,0
1810012K16Rik,1,4,3
1810013D15Rik,0,4,0
1810013L24Rik,147,282,112
1810014B01Rik,50,71,38
1810017P11Rik,0,0,0
1810018F18Rik,0,0,0
1810019D21Rik,0,0,0
1810019N24Rik,2,3,3
1810020O05Rik,0,0,0
1810021B22Rik,4,4,6
1810022K09Rik,224,345,184
1810024B03Rik,2,1,10
1810026B05Rik,285,687,318
1810030O07Rik,262,665,290
1810032O08Rik,65,104,47
1810034E14Rik,75,130,83
1810037I17Rik,90,109,32
1810041H14Rik,10,12,10
1810041L15Rik,0,1,0
1810043G02Rik,15,48,17
1810044D09Rik,4,8,0
1810046K07Rik,0,3,0
1810049I09Rik,0,0,0
1810049J17Rik,0,0,0
1810053B23Rik,0,0,0
1810055G02Rik,5,7,1
1810058I24Rik,116,250,99
1810059C17Rik,0,2,0
1810059H22Rik,4,2,0
1810062G17Rik,4,5,2
1810062O18Rik,5,7,4
1810063I02Rik,0,0,0
1810064F22Rik,0,0,0
1810065E05Rik,0,0,0
2010001A14Rik,1,4,1
2010001K21Rik,0,3,0
2010001M07Rik,0,0,0
2010003K11Rik,0,0,0
2010005H15Rik,0,0,0
2010007H06Rik,2,14,1
2010008C14Rik,9,14,2
2010009K17Rik,0,1,1
2010010A06Rik,0,0,3
2010013B24Rik,0,3,0
2010015M23Rik,4,2,3
2010016I18Rik,726,1189,551
2010103J01Rik,0,3,0
2010106C02Rik,0,0,0
2010106E10Rik,0,0,0
2010107E04Rik,160,222,102
2010109A12Rik,2,3,6
2010109I03Rik,1,3,0
2010109P13Rik,0,0,0
2010110E17Rik,0,0,0
2010110G14Rik,0,0,0
2010110K18Rik,0,0,0
2010111I01Rik,262,570,219
2010204K13Rik,5,6,4
2010300C02Rik,4,13,13
2010300F17Rik,32,78,30
2010308F09Rik,0,0,0
2010309G21Rik,0,0,0
2010310C07Rik,0,0,0
2010315B03Rik,151,197,137
2010320M18Rik,11,7,1
2010320O07Rik,0,0,1
2200002A13Rik,0,0,0
2200002D01Rik,2,3,4
2200002J24Rik,0,0,0
2200007N16Rik,0,0,0
2210008F06Rik,0,0,0
2210010C04Rik,0,1,2
2210011C24Rik,0,0,1
2210011K15Rik,0,0,0
2210016F16Rik,287,528,233
2210016L21Rik,119,184,91
2210017I01Rik,0,0,0
2210039B01Rik,0,0,0
2210406H18Rik,2,15,8
2210406O10Rik,0,3,0
2210407C18Rik,0,0,0
2210408F21Rik,0,0,0
2210408I21Rik,3,4,2
2210409E12Rik,0,0,0
2210411M09Rik,0,5,1
2210412B16Rik,0,0,1
2210414B05Rik,0,0,0
2210414F02Rik,0,0,0
2210417A02Rik,0,0,1
2210418O10Rik,0,2,0
2210420H20Rik,0,0,0
2300002M23Rik,0,0,0
2300003K06Rik,0,0,0
2300009A05Rik,22,39,15
2310001H17Rik,80,145,64
2310001K20Rik,0,0,0
2310001K24Rik,0,0,0
2310002D06Rik,0,0,0
2310002F09Rik,1,13,2
2310002L09Rik,0,0,0
2310003L06Rik,0,0,0
2310003N18Rik,0,0,0
2310005A03Rik,0,0,0
2310005E17Rik,0,0,0
2310007B03Rik,0,0,0
2310008N11Rik,0,0,0
2310009A05Rik,57,64,43
2310009B15Rik,33,25,12
2310010J17Rik,5,6,3
2310011J03Rik,109,246,89
2310014F06Rik,0,0,0
2310015A10Rik,10,31,19
2310015D24Rik,0,1,0
2310015K22Rik,0,0,0
2310016D03Rik,0,1,0
2310016D23Rik,0,5,0
2310016G11Rik,0,0,0
2310020H05Rik,0,0,0
2310022A10Rik,54,108,63
2310022B05Rik,5,10,3
2310026I22Rik,0,0,0
2310026L22Rik,2,0,0
2310030A07Rik,0,0,0
2310030G06Rik,0,0,0
2310031A07Rik,0,2,1
2310033P09Rik,77,162,47
2310034C09Rik,0,0,0
2310034G01Rik,0,0,0
2310034O05Rik,0,0,0
2310035C23Rik,235,571,325
2310039H08Rik,64,94,39
2310039L15Rik,0,0,0
2310040G07Rik,0,0,0
2310040G24Rik,1,2,0
2310043L19Rik,0,0,0
2310043M15Rik,3,4,1
2310043O21Rik,0,0,0
2310043P16Rik,12,27,16
2310044K18Rik,4,11,5
2310046K23Rik,0,0,0
2310047D07Rik,1,1,0
2310050C09Rik,0,0,0
2310057J18Rik,0,0,0
2310057M21Rik,115,162,101
2310057N15Rik,0,0,0
2310058D17Rik,42,90,46
2310061I04Rik,55,57,31
2310061N02Rik,0,0,0
2310065F04Rik,0,0,0
2310068J16Rik,0,1,1
2310069B03Rik,0,0,0
2310074N15Rik,0,1,0
2310075C17Rik,0,0,0
2310079G19Rik,0,0,0
2310081O03Rik,0,0,0
2400006E01Rik,0,0,0
2410002F23Rik,458,1160,509
2410003L11Rik,0,1,0
2410004B18Rik,80,70,36
2410004I01Rik,0,0,0
2410004P03Rik,0,7,0
2410006H16Rik,287,251,121
2410012E07Rik,0,0,0
2410015M20Rik,201,205,112
2410017I17Rik,0,0,0
2410018L13Rik,0,2,1
2410021H03Rik,0,0,0
2410022M11Rik,2,5,1
2410024N13Rik,0,0,0
2410080I02Rik,0,0,0
2410089E03Rik,70,147,81
2410124H12Rik,0,0,0
2410131K14Rik,29,133,26
2410137M14Rik,0,0,0
2410141K09Rik,0,0,0
2410152P15Rik,0,0,0
2500002B13Rik,7,5,2
2500004C02Rik,7,30,21
2510002D24Rik,179,294,120
2510009E07Rik,0,7,5
2510016D11Rik,0,0,3
2510017J16Rik,24,38,9
2510039O18Rik,31,26,34
2510046G10Rik,16,21,13
2600006K01Rik,0,5,2
2600014E21Rik,0,0,0
2610001A08Rik,0,0,0
2610001J05Rik,70,135,80
2610002M06Rik,98,168,66
2610005L07Rik,6,20,7
2610008E11Rik,144,314,82
2610011E03Rik,1,1,8
2610012C04Rik,0,0,0
2610016A17Rik,0,0,0
2610017A05Rik,7,8,6
2610020C07Rik,16,15,9
2610020F03Rik,0,0,0
2610021A01Rik,108,130,136
2610024D14Rik,15,37,45
2610027F03Rik,0,0,0
2610027K06Rik,1,5,1
2610028D06Rik,15,15,10
2610028E06Rik,0,0,0
2610028H24Rik,0,0,0
2610034O05Rik,0,0,0
2610035D17Rik,116,247,110
2610035F20Rik,0,0,0
2610037D02Rik,23,66,26
2610042L04Rik,0,0,0
2610044O15Rik8,111,229,99
2610105M22Rik,0,0,0
2610203C20Rik,0,0,0
2610203C22Rik,0,6,0
2610204G07Rik,3,11,3
2610206C17Rik,6,3,1
2610300A13Rik,0,0,0
2610300M13Rik,0,0,0
2610301B20Rik,25,110,49
2610303G11Rik,0,0,0
2610306M01Rik,13,15,16
2610306O10Rik,0,0,0
2610307P16Rik,0,0,6
2610316D01Rik,0,0,0
2610318N02Rik,4,15,9
2610507B11Rik,269,659,299
2610507I01Rik,17,43,20
2610509F24Rik,3,0,1
2610524H06Rik,40,56,55
2610528A11Rik,0,0,0
2610528J11Rik,0,0,0
2700012I20Rik,0,3,1
2700016F22Rik,1,13,3
2700029L08Rik,1,0,0
2700033N17Rik,0,0,0
2700038G22Rik,39,72,35
2700046A07Rik,0,0,0
2700046G09Rik,0,0,0
2700049A03Rik,55,144,69
2700062C07Rik,38,68,32
2700068H02Rik,0,0,0
2700069I18Rik,0,0,0
2700078F05Rik,0,0,0
2700080J24Rik,0,0,0
2700081O15Rik,4,4,2
2700089I24Rik,0,0,0
2700097O09Rik,67,146,58
2700099C18Rik,5,18,13
2810001G20Rik,110,208,89
2810002D19Rik,62,64,31
2810004N23Rik,150,294,113
2810006K23Rik,44,78,32
2810013P06Rik,121,256,144
2810021J22Rik,47,161,26
2810025M15Rik,0,2,1
2810029C07Rik,0,9,1
2810030D12Rik,0,0,0
2810032G03Rik,0,0,0
2810039B14Rik,18,15,14
2810047C21Rik1,0,0,0
2810049E08Rik,0,0,0
2810402E24Rik,12,31,23
2810403A07Rik,394,764,256
2810403D21Rik,44,42,37
2810404F17Rik,0,1,0
2810404M03Rik,0,0,0
2810405F15Rik,0,0,0
2810405F17Rik,13,34,15
2810407A14Rik,0,0,0
2810408A11Rik,5,9,7
2810408I11Rik,6,4,6
2810410L24Rik,0,1,0
2810414N06Rik,2,9,3
2810425M01Rik,0,1,1
2810428J06Rik,11,12,2
2810429I04Rik,0,0,0
2810430I11Rik,0,0,0
2810432F15Rik,0,0,0
2810433D01Rik,0,0,0
2810442N19Rik,0,0,0
2810454H06Rik,3,38,8
2810455O05Rik,6,16,1
2810459M11Rik,0,0,0
2810468N07Rik,2,4,0
2810471M01Rik,0,0,0
2810474O19Rik,919,1706,744
2900002M20Rik,0,0,0
2900005J15Rik,16,29,21
2900009J06Rik,0,0,0
2900011O08Rik,0,0,0
2900018N21Rik,0,0,0
2900022M07Rik,0,0,0
2900024D18Rik,0,0,0
2900026A02Rik,18,29,12
2900027M19Rik,0,0,0
2900035J10Rik,0,0,0
2900037B21Rik,0,0,0
2900041M22Rik,0,2,0
2900042G08Rik,0,0,0
2900042K21Rik,0,0,0
2900045O20Rik,0,0,0
2900052L18Rik,0,0,0
2900052N01Rik,0,0,0
2900055J20Rik,0,0,0
2900060B14Rik,7,6,5
2900060N12Rik,0,0,0
2900064F13Rik,0,0,0
